"Rank","Club","CCS ID","Swimmer","Seed 													 														Time","Data Source","Finals 													 													Pl"
"1","CAL","18830","Jamieson, Joaquin","25.71","Stopwatch",""
"2","UCONN","09974","Anziano, Dominic","25.86","Stopwatch",""
"3","CORN","37894","Schedler, Brock","25.97","Stopwatch",""
"4","UTK","38401","Chan, Connor","25.99","Stopwatch",""
"5","FLOR","23939","Pokatragool, Pete","26.03","Stopwatch",""
"6","UVA","14058","Shortridge, Caden","26.15","Stopwatch",""
"7","LU","22806","Delaney, Dillon","26.17","Stopwatch",""
"8","CAL","37547","Cao, Daniel","26.21","Stopwatch",""
"9","ELON","08994","Cheifetz, Adam","26.22","Stopwatch",""
"10","GCUC","16135","Jacobson, Jake","26.24","Stopwatch",""
"11","CAL","24508","Mefford, Ben","26.54","Stopwatch",""
"12","CAL","37453","Hsieh, Eugene","26.60","Stopwatch",""
"13","ISC","39546","Rosa, Drew","26.70","Stopwatch",""
"14","PURD","39752","Witty, Andrew","26.78","Stopwatch",""
"15","NCSU","23704","Baldwin, Daniel","26.82","Stopwatch",""
"16","USU","26725","Bernhardt, Spencer","26.86","Stopwatch",""
"16","PURD","28846","Foucu, Matthieu","26.86","Stopwatch",""
"16","UCSD","24502","Oquendo, Dylan","26.86","Stopwatch",""
"19","NCSU","16738","Fawley, Dylan","26.88","Stopwatch",""
"20","UNFCS","30085","Kochmann, Lance","26.93","Stopwatch",""
"21","GTSC","34374","Hanks, Joshua","26.95","Stopwatch",""
"22","UCSD","20579","Feng, Garrett","26.96","Stopwatch",""
"23","VCU","39214","Liao, Eric","27.08","Stopwatch",""
"24","DUKE","15735","Liu, Alec","27.09","Stopwatch",""
"25","UCSD","29496","Campbell, Tyler","27.16","Stopwatch",""
"26","UCR","38326","Shin, Caleb","27.25","Stopwatch",""
"27","SCUW","36268","Braatz, Bennett","27.34","Stopwatch",""
"28","UTES","26483","Yoked, Reef","27.36","Stopwatch",""
"29","DUKE","15693","Bao, Jason","27.45","Stopwatch",""
"29","UNCCH","20461","Zamudio, Jack","27.45","Stopwatch",""
"31","UPENN","23595","Nachod, Ben","27.46","Stopwatch",""
"31","ISC","39539","Pedraza, Adan","27.46","Stopwatch",""
"33","UOFO","31688","Cheng, Brandon","27.49","Stopwatch",""
"34","UNCCH","24978","Clarkson, Aidan","27.50","Stopwatch",""
"34","UTD","38622","Leong, Ivan","27.50","Stopwatch",""
"36","SLUSC","17807","Cruise, Conner","27.51","Stopwatch",""
"37","MIZZ","36216","Krueger, Noah","27.52","Stopwatch",""
"38","CSOSU","21336","Deerwester, Mason","27.54","Stopwatch",""
"39","UVA","34166","Cross, Charlie","27.55","Stopwatch",""
"40","UMD","30014","Badrak, Trent","27.56","Stopwatch",""
"41","CSOSU","38196","Miller, Mason","27.57","Stopwatch",""
"42","UCFFL","26426","Trujillo, Sebastian","27.59","Stopwatch",""
"43","GTOWN","25399","Maconochie, Ethan","27.62","Stopwatch",""
"44","PURD","28708","Liu, Allan","27.65","Stopwatch",""
"45","DUCS","29387","Poag, Jack","27.66","Stopwatch",""
"46","UCONN","28392","Murray, Nathaniel","27.67","Stopwatch",""
"46","SCGSU","37720","Trocchi, Tyler","27.67","Stopwatch",""
"48","AUB","34302","Vogt, Jacob","27.77","Stopwatch",""
"49","FSUC","18212","Rosal, Gareth","27.79","Stopwatch",""
"50","UMCS","35820","Gerber, Jeff","27.80","Stopwatch",""
"51","UPENN","28997","Chang, Dominic","27.81","Stopwatch",""
"51","ISUSC","36930","Reiff, Theo","27.81","Stopwatch",""
"51","UCSD","22920","Wong, Andrew","27.81","Stopwatch",""
"51","CMUCS","28431","Wong, Andrew","27.81","Stopwatch",""
"55","BGCS","38702","Fazio, Dane","27.82","Stopwatch",""
"55","SCAR","28066","Jarr, Ethan","27.82","Stopwatch",""
