"Rank","Club","CCS ID","Swimmer","Seed 													 														Time","Data Source","Finals 													 													Pl"
"1","AZCS","32016","Grandpre, Preston","47.68","Stopwatch",""
"2","UCLAS","38106","Fong, AJ","49.44","Stopwatch",""
"3","CU","37791","Iwers, John","50.08","Stopwatch",""
"4","KSSC","26212","Satterfield, Caleb","50.18","Stopwatch",""
"5","PURD","25940","Reese, Kellen","50.50","Stopwatch",""
"6","LSCUT","37544","Brenes-Quesada, Javier","50.70","Stopwatch",""
"7","LU","33984","Williams, Xander","50.76","Stopwatch",""
"8","CAL","33283","Werland, Jack","50.78","Stopwatch",""
"9","UWSC","37692","Zelenkov, George","50.79","Stopwatch",""
"10","FSUC","20933","White, Aidan","50.85","Stopwatch",""
"11","CSOSU","21458","Guenther, Chase","50.90","Stopwatch",""
"12","LU","33987","Ruble, Grant","51.00","Stopwatch",""
"13","GCUC","35068","Duarte, Trypp","51.01","Stopwatch",""
"14","SCU","18020","Tu, Will","51.02","Stopwatch",""
"15","LU","22807","Rhodenizer, William","51.07","Stopwatch",""
"16","ISUSC","32960","Behrens, Blake","51.14","Stopwatch",""
"17","LU","22820","Black, Jonah","51.18","Stopwatch",""
"18","ASU","28891","Hunter, Josh","51.19","Stopwatch",""
"19","LU","16835","Kolter, Trent","51.26","Stopwatch",""
"19","CAL","29363","Pak, Joshua","51.26","Stopwatch",""
"21","UCSD","31855","Zheng, Tony","51.46","Stopwatch",""
"22","SLUSC","35450","Naji, Moody","51.54","Stopwatch",""
"23","PURD","35575","Lee, Matthew","51.56","Stopwatch",""
"24","FLOR","38213","Traynor, Michael","51.57","Stopwatch",""
"25","UCSD","29544","Ben Yoseph, Itay","51.58","Stopwatch",""
"26","CPSC","29759","Tallman, Gavin","51.65","Stopwatch",""
"27","PURD","21816","Vatchev, Victor","51.66","Stopwatch",""
"28","UMD","34712","Liang, Kai","51.72","Stopwatch",""
"29","CPSC","24632","Flesner, Nathan","51.73","Stopwatch",""
"30","VUSC","39474","Kilponen, William","51.76","Stopwatch",""
"30","TAMCS","26610","Thomas, Nathaniel","51.76","Stopwatch",""
"32","FSUC","36966","Szabo, Marcus","51.78","Stopwatch",""
"33","UGAS","19371","Ice, Edward","51.81","Stopwatch",""
"33","FSUC","39453","Kvashchuk, Mykhailo","51.81","Stopwatch",""
"35","UMCS","16069","Doughty, Ben","51.93","Stopwatch",""
"35","FSUC","35238","Mirsaderov, Nik","51.93","Stopwatch",""
"37","UTES","26543","Eyre, Chandler","51.96","Stopwatch",""
"38","PURD","28752","VanMatre, Landon","51.98","Stopwatch",""
"39","PURD","35522","Alleman, Jack","52.06","Stopwatch",""
"40","UTES","34248","Abla Rossetti, Joao Pedro","52.15","Stopwatch",""
"41","LU","28827","Walter, Aiden","52.27","Stopwatch",""
"42","UVA","34034","Janicki, Matthew","52.32","Stopwatch",""
"43","UWSC","33501","Mahoney-Schaefer, Max","52.35","Stopwatch",""
"43","ISC","37219","Swender, Zach","52.35","Stopwatch",""
"45","SANTA","21409","Cassayre, Dylan","52.38","Stopwatch",""
"46","UCSD","24921","Lee, Ryan","52.40","Stopwatch",""
"47","CMU","18378","Webster, Luke","52.44","Stopwatch",""
"48","VUSC","26100","Ford, William","52.49","Stopwatch",""
"49","BROWN","25573","Wisialowski, Kyle","52.56","Stopwatch",""
"50","W&M","33999","Bowman, Matthew","52.57","Stopwatch",""
"51","CU","20692","Wielgus, Daniel","52.71","Stopwatch",""
"52","NDSC","36322","Chang, Jonathan","52.72","Stopwatch",""
"53","PSU","20814","Paulson, Parker","52.74","Stopwatch",""
"54","UCSD","17336","Fukushima, Mei","52.75","Stopwatch",""
"54","FPUSC","33698","Johnson, Reid","52.75","Stopwatch",""
"54","NAUCS","25536","Pollock, Xander","52.75","Stopwatch",""
"57","CMUCS","26500","Humphreys, Richard","52.89","Stopwatch",""
"57","SANTA","30502","Ruth, Hudson","52.89","Stopwatch",""
"59","UVA","34089","Ooi, Ethan","52.90","Stopwatch",""
"60","UWSC","37563","Buchholz, Larson","52.92","Stopwatch",""
"61","NCSU","27159","Loughmiller, Max","52.96","Stopwatch",""
"62","CMU","27656","Tyner, Ryan","52.99","Stopwatch",""
"63","UWSC","39114","Nguyenle, Sean","53.00","Stopwatch",""
"64","LU","28808","Grabinski, Timothy","53.03","Stopwatch",""
"65","VTECH","20998","Gibbs, Thomas","53.05","Stopwatch",""
"66","AUB","33664","Cresap, Brandon","53.06","Stopwatch",""
"67","LU","22810","Blackstone, James","53.07","Stopwatch",""
"68","UCFFL","35908","Nealy, Colin","53.12","Stopwatch",""
"69","NUIL","29383","Maruszewski, Nikola","53.15","Stopwatch",""
"70","UCSD","30445","Cheng, Jeremy","53.16","Stopwatch",""
"71","AUB","18977","Forkey, Carson","53.18","Stopwatch",""
"72","GTSC","35284","Slater, Landon","53.22","Stopwatch",""
"73","PSU","32207","Kim, Eric","53.30","Stopwatch",""
"74","UCLAS","39516","Yousefi, Alex","53.32","Stopwatch",""
"75","CU","16888","Cedergrund, Gus","53.38","Stopwatch",""
"76","NCSU","16738","Fawley, Dylan","53.39","Stopwatch",""
"77","SCUCD","38313","Peng, Alexander","53.40","Stopwatch",""
"78","ASU","21651","O'Rourke, Sean","53.42","Stopwatch",""
"79","CU","36997","Bocci, Sergio","53.45","Stopwatch",""
"79","UMCS","16223","Katz, Elan","53.45","Stopwatch",""
"81","GTSC","35401","Goggins, Christopher","53.50","Stopwatch",""
"81","NCSU","22825","Neumann, Asher","53.50","Stopwatch",""
"83","CSOSU","34211","Blum, Ryan","53.51","Stopwatch",""
"84","GTSC","26294","Skidmore, William","53.58","Stopwatch",""
"85","ISC","29782","Philipov, Daniel","53.60","Stopwatch",""
"86","UALA","39142","Dillon, Chase","53.62","Stopwatch",""
"86","LU","33989","Horton, Thomas","53.62","Stopwatch",""
"88","MARQ","36413","Islas, Fernando","53.63","Stopwatch",""
"88","PITT","35471","Lentini IV, Joseph","53.63","Stopwatch",""
"90","FSUC","20739","Riordan, James","53.69","Stopwatch",""
"91","UCCS","26307","Schoelwer, Sean","53.71","Stopwatch",""
"92","CU","20638","MacPherson, Quinn","53.74","Stopwatch",""
"93","LSCUT","33520","Han, Kevin","53.75","Stopwatch",""
"94","MARQ","37402","Dankert, Ben","53.88","Stopwatch",""
"95","WUSTL","16583","Barrette, Koji","53.91","Stopwatch",""
"96","ECS","37809","Emre, Emir","53.92","Stopwatch",""
"97","UCCS","27402","Pytlinski, Nick","54.00","Stopwatch",""
"98","NDSC","36347","Hann, Gus","54.04","Stopwatch",""
"98","GTSC","19512","Rimsa, Thomas","54.04","Stopwatch",""
"100","CLEM","28238","Abrams, Jack","54.05","Stopwatch",""
"101","W&M","29598","Fecko, Logan","54.08","Stopwatch",""
"101","CU","20506","Kubina, Mitchell","54.08","Stopwatch",""
"103","FSUC","17739","Laurie, Aiden","54.09","Stopwatch",""
"104","SCGSU","33015","Trocchi, Will","54.10","Stopwatch",""
"105","CLEM","16374","Simpkins, Ben","54.14","Stopwatch",""
"106","FLOR","37350","Kuliyev, Maxim","54.15","Stopwatch",""
"107","UPENN","39535","Hibbert, Caiden","54.16","Stopwatch",""
"108","APPST","38301","Harris, John","54.19","Stopwatch",""
"108","UCLAS","24943","Kiryukhin, Artem","54.19","Stopwatch",""
"110","DUKE","30337","Yae, James","54.22","Stopwatch",""
"111","UMICH","22776","Hintz, Isaac","54.23","Stopwatch",""
"111","UMICH","35701","Twigg, Nicholas","54.23","Stopwatch",""
