"Rank","Club","CCS ID","Swimmer","Seed 													 														Time","Data Source","Finals 													 													Pl"
"1","UMICH","25911","Blake, Katherine","5:13.59","Stopwatch",""
"2","STANF","39075","Blake, Ella","5:17.67","Stopwatch",""
"3","UALA","34778","Burkus, Sophie","5:19.25","Stopwatch",""
"4","NCSU","34376","van de Goor, Sterre","5:21.97","Stopwatch",""
"5","CPSC","38688","Izquierdo, Kai","5:22.04","Stopwatch",""
"6","JMU","34082","Bever, Brady","5:22.29","Stopwatch",""
"7","CPSC","27561","Bucher, Nora","5:22.48","Stopwatch",""
"8","FSUC","27319","Brefeld, Peyton","5:23.61","Stopwatch",""
"9","UVA","16527","Jordan, Kathryn","5:24.20","Stopwatch",""
"10","UCLAS","24925","Nagel, Erin","5:25.22","Stopwatch",""
"11","FSUC","39086","Kofman, Tahlia","5:26.63","Stopwatch",""
"12","FLOR","28877","Alsobrook, Katharine","5:26.89","Stopwatch",""
"13","AUCS","35077","Barrabee, Lauren","5:27.06","Stopwatch",""
"14","CU","27822","Baca, Emma","5:28.04","Stopwatch",""
"15","UTES","34684","Bringard, Beca","5:29.49","Stopwatch",""
"16","NEAST","25524","Haynes, Rachel","5:29.84","Stopwatch",""
"17","UCSD","36791","Graves, Jennifer","5:30.19","Stopwatch",""
"18","UNFCS","35350","de Don, Taylor","5:30.95","Stopwatch",""
"19","BCST","39609","Peck, Kate","5:31.17","Stopwatch",""
"20","PSU","16772","Tierney, Campbell","5:31.22","Stopwatch",""
"21","UVA","14282","West, Josie","5:31.50","Stopwatch",""
"22","GTSC","20369","Munger, Audrey","5:32.33","Stopwatch",""
"23","LSCUT","33306","O'Grady, Mae","5:33.99","Stopwatch",""
"24","NUIL","36992","Ewing, Hannah","5:34.55","Stopwatch",""
"25","UVA","26364","Pogorzelski, Megan","5:34.60","Stopwatch",""
"26","NDSC","31440","Mitchell, Caley","5:35.00","Stopwatch",""
"27","UVA","12315","Reinhard, Marlee","5:35.21","Stopwatch",""
"27","ISUSC","38172","To, Abigail","5:35.21","Stopwatch",""
"29","BCST","34729","McCollough, Macy","5:35.26","Stopwatch",""
"30","AZCS","37275","Martin, Charlotte","5:35.46","Stopwatch",""
"31","DUKE","29670","DiSalvo, Abigail","5:36.49","Stopwatch",""
"32","UCSD","30437","Alvarez, Marisol","5:36.74","Stopwatch",""
"32","TAMCS","27619","Walker, Lorelai","5:36.74","Stopwatch",""
"34","MOFO","35213","Hay, Katherine","5:37.69","Stopwatch",""
"35","CLEM","27134","Laws, Jessica","5:37.85","Stopwatch",""
"36","UCONN","28393","Tullo, Paige","5:38.19","Stopwatch",""
"37","ASU","30301","Matthew, Jude","5:38.42","Stopwatch",""
"38","UVA","34038","Dye, Amanda","5:39.19","Stopwatch",""
"39","UMICH","27649","Meador, Mollie","5:39.23","Stopwatch",""
"40","PITT","21073","Murray, Meghan","5:39.39","Stopwatch",""
"41","CPSC","22907","Schroeder, Amy","5:39.40","Stopwatch",""
"42","CSU","35472","Bender, Ashleigh","5:39.42","Stopwatch",""
