"Rank","Club","CCS ID","Swimmer","Seed 													 														Time","Data Source","Finals 													 													Pl"
"1","LU","33991","Rees, Jonah","1:53.15","Stopwatch",""
"2","PURD","34538","Sun, Ashton","1:53.21","Stopwatch",""
"3","FSUC","20739","Riordan, James","1:53.53","Stopwatch",""
"4","CAL","29363","Pak, Joshua","1:54.14","Stopwatch",""
"5","CMU","18378","Webster, Luke","1:54.23","Stopwatch",""
"6","GTSC","21101","Smith, Benjamin","1:54.44","Stopwatch",""
"7","PSU","21074","Strotheide, Ryan","1:54.46","Stopwatch",""
"8","ASU","34195","Hogan, Alex","1:54.65","Stopwatch",""
"9","MOFO","35210","Gross, Will","1:56.27","Stopwatch",""
"10","UVA","34035","Settembrine, Nicholas","1:56.65","Stopwatch",""
"11","GCUC","29360","Larsen, Fredrik","1:57.90","Stopwatch",""
"12","LU","33992","Schuijt, Chaz","1:58.01","Stopwatch",""
"13","FLOR","33885","Moore, Nicholas","1:58.81","Stopwatch",""
"14","CMU","27656","Tyner, Ryan","1:59.11","Stopwatch",""
"15","NCSU","32137","Stuck, Evan","1:59.30","Stopwatch",""
"16","UCFFL","25176","Christensen, Brandon","1:59.42","Stopwatch",""
"17","CSU","35906","Ridosko, Ryan","1:59.63","Stopwatch",""
"18","UVA","20042","Homan, Jaden","2:00.43","Stopwatch",""
"19","PURD","21574","Kodial, Aryan","2:00.87","Stopwatch",""
"20","CU","20607","Scholpp, Alexander","2:01.49","Stopwatch",""
"21","CPSC","17236","Stoen, Tyler","2:01.82","Stopwatch",""
"22","VTECH","35764","Lan, Yuanrui","2:01.93","Stopwatch",""
"23","UCLAS","37531","Redline, Brody","2:01.94","Stopwatch",""
"24","VTECH","35851","Webster, Andrew","2:01.97","Stopwatch",""
"25","ASU","34704","Girle, Matthew","2:02.16","Stopwatch",""
"26","LU","28807","Grabinski, Thomas","2:02.73","Stopwatch",""
"27","UOFO","24564","Eskola, Petey","2:02.74","Stopwatch",""
"28","PURD","28747","Li, Ray","2:02.78","Stopwatch",""
"29","PURD","13733","Trotter, Gavin","2:03.24","Stopwatch",""
"30","AZCS","23871","Wehmeir, Caleb","2:03.48","Stopwatch",""
"31","UCONN","22764","Leite, Marcelo","2:03.49","Stopwatch",""
"32","USU","21804","Bunnell, Devin","2:03.58","Stopwatch",""
"33","UCSD","17336","Fukushima, Mei","2:03.67","Stopwatch",""
"34","LU","22812","Serle, Jeffrey","2:03.93","Stopwatch",""
"35","SCAR","24681","Coffino, Raphael","2:04.06","Stopwatch",""
"36","CSOSU","26822","Liu, Derek","2:04.36","Stopwatch",""
"37","GTSC","34678","Johnson, Lucas","2:04.44","Stopwatch",""
"38","OSU","38541","Dutto, Garren","2:04.55","Stopwatch",""
"39","GTSC","26267","Hancu, Andrei","2:04.59","Stopwatch",""
"40","GTSC","33612","Rohovit, Hunter","2:04.62","Stopwatch",""
"41","UMD","33177","Englert-Fernandez, Lukas","2:04.72","Stopwatch",""
"42","NDSC","36340","Tedesco, Braiden","2:04.91","Stopwatch",""
"43","MIZZ","31946","Duong, Jeremy","2:04.95","Stopwatch",""
"44","NEAST","18451","Tran, Vincent","2:05.06","Stopwatch",""
"45","UMICH","22775","Sviridov, Maksim","2:05.08","Stopwatch",""
"46","WUSTL","16585","Wang, Avery","2:05.75","Stopwatch",""
"47","NEAST","36150","Liao, James","2:05.87","Stopwatch",""
"48","CAL","38068","Jiang, Jerry","2:05.95","Stopwatch",""
"49","UVA","34081","Huang, Bill","2:06.06","Stopwatch",""
"50","PSU","16814","Smith, Matthew","2:06.20","Stopwatch",""
"51","NUIL","22932","Cappelletti, Rocco","2:06.21","Stopwatch",""
"51","CU","34190","Glass, Riley","2:06.21","Stopwatch",""
"53","UTES","27302","Johnson, Ian","2:06.27","Stopwatch",""
"54","UMICH","25196","Faulkner, Jack","2:06.28","Stopwatch",""
