"Rank","Club","CCS ID","Swimmer","Seed 													 														Time","Data Source","Finals 													 													Pl"
"1","AZCS","32016","Grandpre, Preston","44.78","Stopwatch",""
"2","LU","08522","Davidson, Matthew","45.04","Stopwatch",""
"3","GTSC","33709","Long, Liam","45.61","Stopwatch",""
"4","GCUC","35068","Duarte, Trypp","45.95","Stopwatch",""
"5","WVAU","27723","Howe, Jacob","46.32","Stopwatch",""
"6","LU","22809","Brown, Whittman","46.46","Stopwatch",""
"7","CU","26780","Nordgren, Jason","46.47","Stopwatch",""
"8","PURD","13301","Wang, Bebe","46.52","Stopwatch",""
"9","SCU","18021","Gustin, Daniel","46.59","Stopwatch",""
"10","MIZZ","25943","VanderSchee, Jared","46.69","Stopwatch",""
"11","ASU","34833","Leatherwood, Kieran","46.72","Stopwatch",""
"12","UCSD","24921","Lee, Ryan","46.74","Stopwatch",""
"12","DUKE","37800","Lee, Ryan","46.74","Stopwatch",""
"14","LU","16835","Kolter, Trent","46.78","Stopwatch",""
"15","ASU","34691","Robertson, Michael","46.80","Stopwatch",""
"16","GCUC","35058","Stocek, Kyle","46.87","Stopwatch",""
"17","FSUC","34902","Hall, Jack","47.07","Stopwatch",""
"18","ASU","17849","Miller, Paul","47.08","Stopwatch",""
"19","UNCW","29752","Cloutier, Briggs","47.15","Stopwatch",""
"20","GTSC","14039","White, James","47.20","Stopwatch",""
"21","BGCS","35660","Bushong, Evan","47.30","Stopwatch",""
"22","FSUC","39453","Kvashchuk, Mykhailo","47.33","Stopwatch",""
"23","CORN","37894","Schedler, Brock","47.37","Stopwatch",""
"24","SCU","35389","Vattuone, Ryan","47.40","Stopwatch",""
"25","UGAS","34125","Meeks, Charlie","47.44","Stopwatch",""
"25","UGAS","13597","Renier, Luke","47.44","Stopwatch",""
"27","CU","20692","Wielgus, Daniel","47.45","Stopwatch",""
"28","UCLAS","24943","Kiryukhin, Artem","47.47","Stopwatch",""
"28","LU","22814","Phillipps, Maximus","47.47","Stopwatch",""
"30","SCU","32087","Sterrett, Noah","47.49","Stopwatch",""
"31","UCSD","36460","Szyper, Scott","47.54","Stopwatch",""
"32","FSUC","27328","Gransee, Kyle","47.58","Stopwatch",""
"32","PURD","35604","Tandon, Raghav","47.58","Stopwatch",""
"34","CU","20607","Scholpp, Alexander","47.62","Stopwatch",""
"34","UMCS","28341","Urgo, Michael","47.62","Stopwatch",""
"36","WMU","20705","Simoncini, Leonardo","47.70","Stopwatch",""
"37","CLT","34657","White, Ethan","47.71","Stopwatch",""
"38","CU","34759","Burns, Alexander","47.72","Stopwatch",""
"39","MN","35362","Trinh, Victor","47.75","Stopwatch",""
"40","CSOSU","34814","Gaier, Aiden","47.81","Stopwatch",""
"41","ISUSC","23604","Diede, Ryan","47.86","Stopwatch",""
"42","UCSD","37898","Duong, Kenneth","47.90","Stopwatch",""
"42","PURD","28846","Foucu, Matthieu","47.90","Stopwatch",""
"44","LSCUT","37544","Brenes-Quesada, Javier","47.94","Stopwatch",""
"45","LU","22810","Blackstone, James","48.04","Stopwatch",""
"45","NCSU","22825","Neumann, Asher","48.04","Stopwatch",""
"47","GVSU","39367","Raskay, Kyle","48.08","Stopwatch",""
"48","CU","16809","Aparicio, Drew","48.09","Stopwatch",""
"48","FLOR","37350","Kuliyev, Maxim","48.09","Stopwatch",""
"50","PURD","13739","Helwig, Alex","48.11","Stopwatch",""
"51","UGAS","33893","Gonzalez, Daniel","48.16","Stopwatch",""
"52","UMICH","26941","Klug, Nick","48.17","Stopwatch",""
"53","CSOSU","39045","Guthrie, Peter","48.18","Stopwatch",""
"53","NUIL","33197","Kubica, Clement","48.18","Stopwatch",""
"53","UPENN","31490","Ping, Evan","48.18","Stopwatch",""
"56","UALA","39142","Dillon, Chase","48.19","Stopwatch",""
"57","MSUSC","35722","Lezovich, Zachary","48.23","Stopwatch",""
"58","CSOSU","35139","Foy, Kearney","48.25","Stopwatch",""
"59","PURD","13729","Field, Hunter","48.27","Stopwatch",""
"59","FSUC","34899","Seward, Lawson","48.27","Stopwatch",""
"59","CPSC","17236","Stoen, Tyler","48.27","Stopwatch",""
"62","UTES","26543","Eyre, Chandler","48.29","Stopwatch",""
"63","NAUCS","25536","Pollock, Xander","48.30","Stopwatch",""
"63","LSCUT","33379","Whann, Campbell","48.30","Stopwatch",""
"65","UCFFL","33294","Colmenares, Juan","48.31","Stopwatch",""
"65","ASU","34602","Roth, Tucker","48.31","Stopwatch",""
"67","UMD","34712","Liang, Kai","48.32","Stopwatch",""
"68","UPENN","30428","Hann, Benjamin","48.34","Stopwatch",""
"69","WUSTL","16583","Barrette, Koji","48.35","Stopwatch",""
"70","MSUSC","36494","Davis, Issac","48.45","Stopwatch",""
"70","UGAS","19371","Ice, Edward","48.45","Stopwatch",""
"70","ISC","29788","Wetherill, Mitchell","48.45","Stopwatch",""
"73","CSOSU","21458","Guenther, Chase","48.46","Stopwatch",""
"74","LU","33985","Spade, Gage","48.48","Stopwatch",""
"75","BROWN","25666","Block, Copeland","48.50","Stopwatch",""
"76","UMD","30574","Parhi, Tanush","48.52","Stopwatch",""
"77","SANTA","24441","Fernandez, Kyle","48.53","Stopwatch",""
"77","CPSC","17695","Mirel, Kaan","48.53","Stopwatch",""
"77","VTECH","35688","Young, Hatcher","48.53","Stopwatch",""
"80","UGAS","20135","Wang, Daniel","48.57","Stopwatch",""
"81","MOFO","22210","Liberto, Evan","48.59","Stopwatch",""
"81","JMU","33736","Tiller, Grant","48.59","Stopwatch",""
"81","FLOR","34440","Wu, Charlie","48.59","Stopwatch",""
"84","FPUSC","33698","Johnson, Reid","48.62","Stopwatch",""
"85","KSSC","26175","Reichenbach, Cameron","48.64","Stopwatch",""
"86","MIZZ","36130","Plautz, Liam","48.67","Stopwatch",""
"87","CLEM","35495","Hafner, Justin","48.68","Stopwatch",""
"87","CMU","27092","Madeksza, Charlie","48.68","Stopwatch",""
"89","FSUC","17739","Laurie, Aiden","48.74","Stopwatch",""
"90","UNCW","35294","Ivan, David","48.77","Stopwatch",""
"90","AZCS","37156","Shapiro, Daniel","48.77","Stopwatch",""
"92","ASU","21462","Johnson, Luke","48.82","Stopwatch",""
"93","GTOWN","36419","Keller, Luke","48.85","Stopwatch",""
"93","GCUC","35064","Pool, Maddox","48.85","Stopwatch",""
"95","GCUC","24257","Jimenez, Tylor","48.88","Stopwatch",""
"96","WVAU","35391","Bennett, Ian","48.89","Stopwatch",""
"96","WUSTL","36080","Bocsi, Daniel","48.89","Stopwatch",""
"98","CSOSU","26506","Van Cott, Josh","48.91","Stopwatch",""
"99","UCSD","37277","Joshi, Noah","48.97","Stopwatch",""
"100","USCA","38437","Shannon, Maddoc","48.98","Stopwatch",""
"101","LU","33990","Hall, Aaron","48.99","Stopwatch",""
"102","TULSC","31434","Kondrashev, Dima","49.01","Stopwatch",""
"102","VTECH","14564","Rosenhein, Drew","49.01","Stopwatch",""
"104","APPST","31514","Foeri, Tyler","49.02","Stopwatch",""
"105","PRINC","38498","Geunes, Eric","49.05","Stopwatch",""
"105","ECS","15894","Karpen, Matthew","49.05","Stopwatch",""
"107","GTSC","39120","Bratu, Dan","49.06","Stopwatch",""
"107","PSU","34857","Koptyra, Zachary","49.06","Stopwatch",""
"109","LUSC","29825","Barnett, Will","49.07","Stopwatch",""
"110","YALE","38136","Fan, Francis","49.11","Stopwatch",""
"110","LSCUT","33520","Han, Kevin","49.11","Stopwatch",""
"112","CU","16891","Allred, Joseph","49.13","Stopwatch",""
"113","TAMCS","33922","Dionne, Grant","49.14","Stopwatch",""
"114","UPENN","39535","Hibbert, Caiden","49.15","Stopwatch",""
"115","CPSC","30107","Lopez, Andrew","49.16","Stopwatch",""
"115","ISC","36050","Zhao, Edward","49.16","Stopwatch",""
"117","GTSC","26294","Skidmore, William","49.17","Stopwatch",""
"118","MSUSC","33575","Ozil, Deniz","49.18","Stopwatch",""
"119","LU","22813","Dyer, Nathanael","49.19","Stopwatch",""
"120","CU","24454","McLeod, Ian","49.20","Stopwatch",""
"121","NCSU","27159","Loughmiller, Max","49.21","Stopwatch",""
"122","SANTA","29497","Galabow, Jacob","49.22","Stopwatch",""
"122","ECS","36404","Harting, Alden","49.22","Stopwatch",""
"122","CPSC","33594","Jurcazak, Harrison","49.22","Stopwatch",""
"125","CLEM","36117","Piani, Rylan","49.23","Stopwatch",""
"126","LU","28808","Grabinski, Timothy","49.24","Stopwatch",""
"126","SCU","18020","Tu, Will","49.24","Stopwatch",""
"128","UCSD","17507","Zahn, Warren","49.26","Stopwatch",""
"129","GCUC","39167","Lindeman, Ethan","49.27","Stopwatch",""
"130","MARQ","36414","Smith, Peter","49.28","Stopwatch",""
"131","SCUW","16457","Skantz, Joseph","49.30","Stopwatch",""
"132","MARQ","37402","Dankert, Ben","49.31","Stopwatch",""
"133","UMD","33177","Englert-Fernandez, Lukas","49.34","Stopwatch",""
"134","LU","39080","Rasoumoff, Paul","49.35","Stopwatch",""
"135","VCS","16621","Lavin, Michael","49.36","Stopwatch",""
"135","UGAS","26913","Teal, Nathan","49.36","Stopwatch",""
"137","CLEM","27173","Gabriele, Noah","49.37","Stopwatch",""
"138","PITT","21499","Bentley, Chase","49.38","Stopwatch",""
"138","ELON","08994","Cheifetz, Adam","49.38","Stopwatch",""
"138","CMUCS","38289","Leung, Alex","49.38","Stopwatch",""
"138","GCUC","24439","Wilson, Kai","49.38","Stopwatch",""
"142","WUSTL","35773","Chen, William","49.39","Stopwatch",""
"142","CPSC","36846","Naim, Joshua","49.39","Stopwatch",""
"142","CU","24634","Sommer, Cort","49.39","Stopwatch",""
"145","NDSC","22494","Held, Drew","49.40","Stopwatch",""
"146","UNCW","34792","Krom, Tyler","49.41","Stopwatch",""
"146","PSU","21074","Strotheide, Ryan","49.41","Stopwatch",""
"148","CSOSU","31508","Caceres-Gamero, Ricky","49.42","Stopwatch",""
"148","OSU","39096","Curren, Gavin","49.42","Stopwatch",""
"150","OSU","38541","Dutto, Garren","49.43","Stopwatch",""
"151","FSUC","34466","Herold, Jonathan","49.45","Stopwatch",""
"151","PURD","35595","Jungblut, Owen","49.45","Stopwatch",""
"151","UCSD","36699","Radulescu, Alexander","49.45","Stopwatch",""
"154","LU","33989","Horton, Thomas","49.47","Stopwatch",""
"155","BROWN","25732","Joseph, Julian","49.48","Stopwatch",""
"156","ECS","37809","Emre, Emir","49.49","Stopwatch",""
"156","UKCS","34290","Nenkov, Miles","49.49","Stopwatch",""
"158","UNCCH","20604","Roberts, Nicholas","49.50","Stopwatch",""
"159","UMICH","26786","Tuthill, Ben","49.51","Stopwatch",""
"160","UGAS","39150","Collett, Owen","49.52","Stopwatch",""
"160","GCUC","27919","Wagner, Jack","49.52","Stopwatch",""
"162","UCONN","38635","Katra, Marko","49.54","Stopwatch",""
"163","NCSU","34385","Seliem, Hamza","49.55","Stopwatch",""
"164","DUKE","34845","Marri, Rithvik","49.56","Stopwatch",""
"165","MOFO","27283","Reitter, Aidan","49.57","Stopwatch",""
"166","UVA","34093","Farnham, Max","49.59","Stopwatch",""
"167","UCFFL","36009","Jordan, Cole","49.60","Stopwatch",""
"167","UOFO","17497","Southall, Luke","49.60","Stopwatch",""
"167","CAL","24469","Tang, York","49.60","Stopwatch",""
"170","UTES","20808","Atzet, Ethan","49.61","Stopwatch",""
"171","UCFFL","35908","Nealy, Colin","49.63","Stopwatch",""
"172","UMD","18025","Fitzsimmons, John","49.64","Stopwatch",""
"172","SCUW","31533","Fridman, Aron","49.64","Stopwatch",""
"172","GMUSC","18840","Higgins, Timothy","49.64","Stopwatch",""
"175","NCSU","25322","Miller, Christopher","49.65","Stopwatch",""
"175","AZCS","25781","Peddie, Dave","49.65","Stopwatch",""
"177","CSOSU","24552","Huggins, Sean","49.66","Stopwatch",""
"178","SCUW","34779","Codevilla, Stephen","49.68","Stopwatch",""
"178","CSOSU","31652","Lewis, Gavin","49.68","Stopwatch",""
"178","PSU","19484","Murtha, Ryan","49.68","Stopwatch",""
"181","UMD","30584","Milman, Sean","49.69","Stopwatch",""
"181","ISC","24026","Shvydkoy, Dmitriy","49.69","Stopwatch",""
