"Rank","Club","CCS ID","Swimmer","Seed 													 														Time","Data Source","Finals 													 													Pl"
"1","GTSC","34004","Carlton, Delaney","58.91","Stopwatch",""
"2","FSUC","34477","Li, Adeline","1:00.71","Stopwatch",""
"3","UVA","12347","Sheng, Anna","1:01.50","Stopwatch",""
"4","CU","26785","Flenard, Isabel","1:01.60","Stopwatch",""
"5","GCUC","27803","Parish, Isabella","1:01.61","Stopwatch",""
"6","NUIL","25460","Park, Emily","1:01.67","Stopwatch",""
"7","UNCCH","27418","Kim, Catherine","1:02.22","Stopwatch",""
"8","AZCS","39733","Bailey, Bellamy","1:02.31","Stopwatch",""
"8","GCUC","35066","Logue, Madison","1:02.31","Stopwatch",""
"10","CPSC","30382","Tomek, Paige","1:02.47","Stopwatch",""
"11","VTECH","27524","Will, Isabel","1:02.69","Stopwatch",""
"12","UCSD","24928","Rummelhoff, Morgan","1:02.81","Stopwatch",""
"13","CWRU","37672","Zhao, Annie","1:03.22","Stopwatch",""
"14","UTES","15764","Bacon, Jeila","1:03.32","Stopwatch",""
"15","FLOR","28896","Perkins, Lily","1:03.35","Stopwatch",""
"16","UMICH","28645","Luo, Michelle","1:03.42","Stopwatch",""
"17","CPSC","25722","Djatej, Dariko","1:03.44","Stopwatch",""
"17","NEAST","28793","Guo, Deanna","1:03.44","Stopwatch",""
"19","UVA","26354","Samuels, Charlotte","1:03.50","Stopwatch",""
"20","TAMCS","33925","Shade, Caroline","1:03.52","Stopwatch",""
"20","CAL","24425","Zhang, Emma","1:03.52","Stopwatch",""
"22","MSUSC","27929","Alguire, Allison","1:03.55","Stopwatch",""
"23","AUB","33627","Gavin, Anna","1:03.58","Stopwatch",""
"24","SCIU","27691","Machado, Madi","1:03.62","Stopwatch",""
"25","UCR","38362","Lui, Nadia","1:03.69","Stopwatch",""
"26","GTOWN","29456","Huffman, Rosa","1:03.81","Stopwatch",""
"26","FSUC","34483","Lee, Morgan","1:03.81","Stopwatch",""
"28","GWCS","36859","Su, Yanlei","1:03.83","Stopwatch",""
"29","UCI","30180","Hoshina, Rin","1:03.88","Stopwatch",""
"30","TAMPA","25988","Sheridan, Olivia","1:03.92","Stopwatch",""
"31","CSU","13808","Keown, Erin","1:04.02","Stopwatch",""
"32","ISC","32004","Bushong, Shelby","1:04.07","Stopwatch",""
"33","CSOSU","13903","Lichtner, Kasey","1:04.08","Stopwatch",""
"34","GCUC","27833","Gross, Hannah","1:04.20","Stopwatch",""
"35","UMD","30528","Woo, Ashley","1:04.21","Stopwatch",""
"36","CPSC","34768","Chu, Jessica","1:04.26","Stopwatch",""
"37","UALA","35026","Tsynman, Katherine","1:04.29","Stopwatch",""
"38","PRINC","38594","Chen, Jaime","1:04.30","Stopwatch",""
"38","CSOSU","34816","Wood, Kiera","1:04.30","Stopwatch",""
"40","TAMPA","28312","Cusumano, Emma","1:04.35","Stopwatch",""
"41","SANTA","37512","Cumming, Lydia","1:04.36","Stopwatch",""
"42","UMCS","26534","Wojenski, Amanda","1:04.45","Stopwatch",""
"43","GCUC","16157","Tamblyn, Sophia","1:04.48","Stopwatch",""
"44","GVSU","27105","Geers, Josie","1:04.49","Stopwatch",""
"44","UNCW","34721","Jones, Rachel","1:04.49","Stopwatch",""
"44","PITT","21068","Van Deusen, Rosalie","1:04.49","Stopwatch",""
"47","AUCS","35274","Pektor, Ava","1:04.51","Stopwatch",""
"48","CPSC","17106","Luisetti, Clara","1:04.56","Stopwatch",""
"48","CLT","27910","Tjandra, Sammy","1:04.56","Stopwatch",""
"50","SCUW","13720","Ceren, Rachel","1:04.58","Stopwatch",""
"50","GTSC","35056","Spaulding, Alice","1:04.58","Stopwatch",""
"52","UWSC","37799","Kao, Lucy","1:04.59","Stopwatch",""
"53","UTC","33779","McCarthy, Kathleen","1:04.63","Stopwatch",""
"54","UGAS","27042","Clements, Madison","1:04.68","Stopwatch",""
"55","UCSD","37164","Khan, Olivia","1:04.70","Stopwatch",""
"56","WUSTL","28158","Mefford, Audrey","1:04.73","Stopwatch",""
"57","CWRU","37574","Hsu, Emily","1:04.74","Stopwatch",""
"58","GWCS","36543","Simeone, Megan","1:04.76","Stopwatch",""
"59","CLEM","39259","Adams, Lauren","1:04.77","Stopwatch",""
"60","MOFO","14673","Griffith, Abbie","1:04.79","Stopwatch",""
"61","CU","33971","Fisher, Isabel","1:04.82","Stopwatch",""
"62","UCI","37903","Wong, Melissa","1:04.87","Stopwatch",""
"63","VTECH","17953","Morton, Lindsay","1:04.88","Stopwatch",""
"64","BROWN","35452","Xian, Michelle","1:04.91","Stopwatch",""
"65","CMUCS","26290","Zhang, Brenda","1:04.92","Stopwatch",""
"66","JMU","13844","Boggess, Meredith","1:04.93","Stopwatch",""
"67","USCA","38481","Liew, Xiao Rou","1:04.97","Stopwatch",""
"68","CSOSU","35103","Hastings, Olivia","1:05.00","Stopwatch",""
"69","PRINC","37958","Anderson, Asya","1:05.01","Stopwatch",""
"70","UDSC","37748","Lynch, Emily","1:05.02","Stopwatch",""
"71","FSUC","36809","Lorber, Suhzanne","1:05.04","Stopwatch",""
"72","CMUCS","31405","Huang, Susan","1:05.07","Stopwatch",""
"73","CLT","28538","Harbert, Jill","1:05.09","Stopwatch",""
"73","ASU","30301","Matthew, Jude","1:05.09","Stopwatch",""
"75","CAL","38720","Cheung, Asta","1:05.10","Stopwatch",""
"76","UCONN","22753","Marshall, Melia","1:05.11","Stopwatch",""
"77","UGAS","33904","Bierman, Caroline","1:05.13","Stopwatch",""
"77","NAUCS","39282","Seppala, Sarah","1:05.13","Stopwatch",""
"79","TAMPA","34966","Crum, Samantha","1:05.18","Stopwatch",""
"79","AUB","33615","Roth, Alison","1:05.18","Stopwatch",""
"81","GTOWN","36427","Rickey, Mason","1:05.19","Stopwatch",""
"82","UCSD","37163","Khan, Sonia","1:05.20","Stopwatch",""
"83","STANF","31903","Deale, Morgan","1:05.23","Stopwatch",""
"84","NEAST","18452","Rodriguez, Nicole","1:05.27","Stopwatch",""
"85","UMICH","28536","Socha, Megan","1:05.28","Stopwatch",""
"86","UVA","14062","Ross, Marissa","1:05.34","Stopwatch",""
"87","VUSC","36973","Ndiaye, Jayla","1:05.36","Stopwatch",""
"88","NUIL","15592","Lee, Lauren","1:05.37","Stopwatch",""
"89","SBU","36330","Corcuera, Carolina","1:05.41","Stopwatch",""
"90","ECS","31628","Ferneini, Isabella","1:05.42","Stopwatch",""
"90","USFB","33393","Rykowski, Emilia","1:05.42","Stopwatch",""
"92","CU","16916","McClendon, Annie","1:05.46","Stopwatch",""
"93","TAMCS","37749","Moonsammy, Vanessa","1:05.47","Stopwatch",""
"94","WUSTL","28236","Levine, Emma","1:05.48","Stopwatch",""
"95","ASU","28907","Maldonado, Daisy","1:05.52","Stopwatch",""
"96","MIZZ","31932","Mohart, Ava","1:05.53","Stopwatch",""
"97","CSOSU","34206","Jha, Bianca","1:05.54","Stopwatch",""
"98","SCGSU","33356","Asip, Lexi","1:05.56","Stopwatch",""
"99","ASU","34558","Landsberg, Julia","1:05.58","Stopwatch",""
"100","NUIL","29428","Demm, Maddie","1:05.61","Stopwatch",""
